ProductKey,ProductName,Category,Subcategory,ListPrice,StandardCost,Tier,Status
89,Mat 04,Accessories,Mat,293.53,145.78,Premium,Active
90,Mat 05,Accessories,Mat,623.75,359.23,Value,Active
91,Clock 01,Accessories,Clock,894.71,454.23,Premium,Active
92,Clock 02,Accessories,Clock,568.34,406.96,Standard,Active
93,Clock 03,Accessories,Clock,582.88,328.14,Premium,Seasonal
94,Clock 04,Accessories,Clock,591.65,356.61,Premium,Active
95,Clock 05,Accessories,Clock,271.8,176.7,Standard,Active
96,Basket 01,Accessories,Basket,371.44,184.53,Value,Active
97,Basket 02,Accessories,Basket,607.07,388.05,Standard,Active
98,Basket 03,Accessories,Basket,501.48,320.98,Premium,Seasonal
99,Basket 04,Accessories,Basket,674.46,413.48,Standard,Seasonal
100,Basket 05,Accessories,Basket,645.09,368.34,Value,Active
