item_id,item_name,category,subcategory,list_price,standard_cost,tier,status
ITEM0046,Rug 01,Home Decor,Rug,221.01,125.92,Standard,Active
ITEM0047,Rug 02,Home Decor,Rug,530.83,353.99,Value,Active
ITEM0048,Rug 03,Home Decor,Rug,875.83,546.3,Premium,Active
ITEM0049,Rug 04,Home Decor,Rug,57.72,40.58,Premium,Active
ITEM0050,Rug 05,Home Decor,Rug,257.9,138.7,Value,Active
ITEM0051,Artwork 01,Home Decor,Artwork,901.72,451.36,Premium,Active
ITEM0052,Artwork 02,Home Decor,Artwork,782.58,559.32,Value,Active
ITEM0053,Artwork 03,Home Decor,Artwork,736.91,376.42,Premium,Active
ITEM0054,Artwork 04,Home Decor,Artwork,901.63,468.51,Value,Active
ITEM0055,Artwork 05,Home Decor,Artwork,833.91,484.96,Standard,Active
ITEM0056,Decor Accent 01,Home Decor,Decor Accent,885.31,585.42,Value,Active
ITEM0057,Decor Accent 02,Home Decor,Decor Accent,223.05,123.75,Value,Active
ITEM0058,Decor Accent 03,Home Decor,Decor Accent,631.39,369.45,Value,Active
ITEM0059,Decor Accent 04,Home Decor,Decor Accent,450.85,243.23,Standard,Active
ITEM0060,Decor Accent 05,Home Decor,Decor Accent,347.66,215.96,Standard,Active
ITEM0061,Patio Chair 01,Outdoor,Patio Chair,575.48,277.22,Value,Active
ITEM0062,Patio Chair 02,Outdoor,Patio Chair,614.3,328.62,Standard,Active
ITEM0063,Patio Chair 03,Outdoor,Patio Chair,822.27,408.67,Standard,Active
ITEM0064,Patio Chair 04,Outdoor,Patio Chair,293.41,175.02,Value,Active
ITEM0065,Patio Chair 05,Outdoor,Patio Chair,160.4,113.01,Value,Active
ITEM0066,Outdoor Table 01,Outdoor,Outdoor Table,564.35,303.8,Premium,Active
ITEM0067,Outdoor Table 02,Outdoor,Outdoor Table,774.82,407.32,Standard,Active
ITEM0068,Outdoor Table 03,Outdoor,Outdoor Table,639.67,361.43,Premium,Active
ITEM0069,Outdoor Table 04,Outdoor,Outdoor Table,464.99,304.56,Value,Active
ITEM0070,Outdoor Table 05,Outdoor,Outdoor Table,634.64,403.05,Standard,Active
ITEM0071,Planter 01,Outdoor,Planter,406.39,228.16,Standard,Active
ITEM0072,Planter 02,Outdoor,Planter,266.28,139.97,Premium,Active
ITEM0073,Planter 03,Outdoor,Planter,167.57,87.81,Premium,Active
ITEM0074,Planter 04,Outdoor,Planter,267.32,187.55,Premium,Active
ITEM0075,Planter 05,Outdoor,Planter,775.3,531.42,Standard,Active
ITEM0076,Umbrella 01,Outdoor,Umbrella,86.04,61.93,Standard,Active
ITEM0077,Umbrella 02,Outdoor,Umbrella,921.79,647.4,Standard,Active
ITEM0078,Umbrella 03,Outdoor,Umbrella,191.34,114.14,Standard,Active
ITEM0079,Umbrella 04,Outdoor,Umbrella,826.83,575.96,Standard,Active
ITEM0080,Umbrella 05,Outdoor,Umbrella,384.87,275.75,Premium,Active
ITEM0081,Organizer 01,Accessories,Organizer,883.13,590.31,Premium,Active
ITEM0082,Organizer 02,Accessories,Organizer,424.94,301.6,Value,Active
ITEM0083,Organizer 03,Accessories,Organizer,642.3,383.33,Standard,Active
ITEM0084,Organizer 04,Accessories,Organizer,310.0,220.87,Value,Active
ITEM0085,Organizer 05,Accessories,Organizer,709.52,350.95,Premium,Active
ITEM0086,Mat 01,Accessories,Mat,92.02,57.07,Value,Active
ITEM0087,Mat 02,Accessories,Mat,876.64,532.53,Standard,Active
ITEM0088,Mat 03,Accessories,Mat,914.31,456.45,Standard,Active
ITEM0089,Mat 04,Accessories,Mat,102.35,50.8,Standard,Active
ITEM0090,Mat 05,Accessories,Mat,407.44,287.65,Value,Active
ITEM0091,Clock 01,Accessories,Clock,264.06,164.43,Value,Active
ITEM0092,Clock 02,Accessories,Clock,114.6,73.09,Value,Active
ITEM0093,Clock 03,Accessories,Clock,515.73,363.24,Standard,Active
ITEM0094,Clock 04,Accessories,Clock,649.45,360.71,Premium,Active
ITEM0095,Clock 05,Accessories,Clock,400.17,256.59,Premium,Active
ITEM0096,Basket 01,Accessories,Basket,456.07,320.6,Standard,Active
ITEM0097,Basket 02,Accessories,Basket,48.48,30.5,Value,Active
ITEM0098,Basket 03,Accessories,Basket,946.45,470.94,Standard,Active
ITEM0099,Basket 04,Accessories,Basket,500.36,256.08,Premium,Active
ITEM0100,Basket 05,Accessories,Basket,841.59,581.56,Premium,Active
